 120.00000000 -79.90154388 
 130.00000000 -79.90145891 
 140.00000000 -79.90105032 
 150.00000000 -79.90028731 
 160.00000000 -79.89931206 
 170.00000000 -79.89850907 
 180.00000000 -79.89818949 
 190.00000000 -79.89870797 
 200.00000000 -79.89964164 
 210.00000000 -79.90056286 
 220.00000000 -79.90119888 
 230.00000000 -79.90141179 
 240.00000000 -79.90150290 
 250.00000000 -79.90142711 
 260.00000000 -79.90112669 
 270.00000000 -79.90042831 
 280.00000000 -79.90010626 
 290.00000000 -79.89963493 
 300.00000000 -79.89903306 
 310.00000000 -79.89833717 
 320.00000000 -79.89743725 
 330.00000000 -79.89642214 
 340.00000000 -79.89534695 
 350.00000000 -79.89425765 
 360.00000000 -79.89309094 
 370.00000000 -79.89185252 
 380.00000000 -79.89539267 
 390.00000000 -79.89642370 
 400.00000000 -79.89728080 
 410.00000000 -79.89798201 
 420.00000000 -79.89863985 
 430.00000000 -79.89908232 
 440.00000000 -79.89956186 
 450.00000000 -79.90024800 
 460.00000000 -79.90103120 
 470.00000000 -79.90138949 
 480.00000000 -79.90153328 
