CMDLINE /home/esp/anaconda3/envs/Igor/bin/python3.10 Laboratory/drFrankenstein.py --config Config_Files/06_PHG_charmm.yaml
MEM 0.250000 1754659371.5075
MEM 31.468750 1754659371.6099
MEM 56.777344 1754659371.7102
MEM 110.925781 1754659371.8104
MEM 135.937500 1754659371.9107
MEM 170.437500 1754659372.0110
MEM 191.937500 1754659372.1138
MEM 215.437500 1754659372.2142
MEM 222.437500 1754659372.3145
MEM 238.687500 1754659372.4148
MEM 253.058594 1754659372.5151
MEM 266.308594 1754659372.6154
MEM 268.058594 1754659372.7157
MEM 275.335938 1754659372.8160
MEM 292.835938 1754659372.9164
MEM 308.335938 1754659373.0167
MEM 317.835938 1754659373.1172
MEM 335.335938 1754659373.2177
MEM 347.585938 1754659373.3181
MEM 372.085938 1754659373.4185
MEM 383.585938 1754659373.5190
MEM 406.585938 1754659373.6195
MEM 422.835938 1754659373.7198
MEM 438.335938 1754659373.8202
MEM 438.335938 1754659373.9207
MEM 438.335938 1754659374.0210
MEM 438.335938 1754659374.1213
MEM 438.335938 1754659374.2217
MEM 438.335938 1754659374.3220
MEM 419.843750 1754659374.4224
MEM 419.843750 1754659374.5227
MEM 419.843750 1754659374.6232
MEM 419.843750 1754659374.7234
MEM 421.343750 1754659374.8239
MEM 434.093750 1754659374.9242
MEM 437.343750 1754659375.0247
MEM 440.843750 1754659375.1249
MEM 440.843750 1754659375.2253
MEM 412.492188 1754659375.3258
MEM 0.000000 1754659375.4263
