CMDLINE /home/esp/anaconda3/envs/Igor/bin/python3.10 Laboratory/drFrankenstein.py --config Config_Files/06_PHG_charmm.yaml
MEM 0.250000 1754659361.2388
MEM 28.750000 1754659361.3400
MEM 53.570312 1754659361.4403
MEM 109.519531 1754659361.5408
MEM 147.335938 1754659361.6412
MEM 172.335938 1754659361.7417
MEM 194.335938 1754659361.8459
MEM 215.335938 1754659361.9462
MEM 223.335938 1754659362.0466
MEM 239.335938 1754659362.1469
MEM 251.394531 1754659362.2472
MEM 262.144531 1754659362.3476
MEM 262.394531 1754659362.4480
